ID,Cross,RIX_ID,Sex,Cohort,Date of Assay,Treatment,Timepoint,Number of cells,MM R1 singles,MM R2 Viable Cells,MM R3 LCA+ non-AF cells,MM R3 LCA+ AF cells,MM R5 CD11c+ cells,MM R6 Neutrophils,MM R7 SigLecF+ cells,MM R7 R8 Alveolar Macs,MM R8 Eosinophils,MM R9 P DCs,MM R10 Mo DCs,MM R11 CD11b Hi DCs,MM R12 Monocytes,MM R13 Lymphocytes,MM R14 Ly 6C Low Monos,MM R15 Ly 6C Hi Monos,LYM R1 Singles,LYM R2 Viable Cells,LYM R3 Viable Lcs,LYM R4 LCA+ lcs,LYM R5 T Cells,LYM R6 CD4 T Cells,LYM R7 CD8 T Cells,LYM R8 B Cells,LYM R9 NK Cells,DC R1 Singles,DC R2 Viable Cells,DC R3 LCA+ cells,DC R3 R4 lin- cells,DC R4 Lin Pos Cells,DC R5 CD11c+ cells,DC R6 CD8 DCs,DC R7 CD103 DCs,DC R8 CD205 DCs,DC R9 CD326 DCs,DC R10 CD205+ CD103- DCs,DC R12 CD205+ CD103+ DCs,DC R12 CD205- CD103- DCs,DC R13 CD205- CD103+ DCs,Notes
5119x8018_33,5119x8018,33,f,10_13x,2013-10-18,Mock,4,2613000,186167,104374,39551,42189,40960,9949,19531,15797,3734,29,8251,1331,6145,33645,4725,1298,152762,100685,72894,56696,27211,13021,6744,11131,3165,193868,126305,89394,40876,48518,16349,23,304,9,291,797,903,3888,118,
5119x8018_34,5119x8018,34,f,10_13x,2013-10-18,Mock,4,2680000,240077,134429,44829,58789,56717,20524,22124,18476,3648,26,10262,2214,10255,34968,7237,2872,113320,74762,52135,40968,18696,8592,4459,6161,2742,208690,133083,98164,50049,48115,15932,23,190,8,328,568,412,4567,94,
5119x8018_44,5119x8018,44,f,10_13x,2013-10-18,Mock,4,4422000,196491,113826,32198,47677,46556,16159,21775,19445,2330,37,5300,1405,5439,26958,4072,1278,101064,66950,44638,30642,16271,7552,3400,4670,1082,168622,112613,74961,39418,35543,16575,22,330,3,320,601,811,3560,178,
8005x8002_166,8005x8002,166,f,10_13x,2013-10-18,Mock,4,1809000,146612,98544,19134,59252,56813,7386,42376,35407,6969,29,2900,2884,6002,13373,5503,424,72647,52435,29152,20544,11289,2981,1109,3441,2695,142379,106238,83037,54052,28985,32403,37,436,30,872,1662,798,4795,143,
8005x8002_167,8005x8002,167,f,10_13x,2013-10-18,Mock,4,871000,92086,66049,11980,40766,39616,3382,31912,28208,3704,23,1529,1922,3083,9057,2890,144,100053,71519,39611,27550,18233,3673,1963,4615,4117,100550,74684,59313,36658,22655,25387,23,225,17,559,701,563,2848,83,
8005x8002_168,8005x8002,168,f,10_13x,2013-10-18,Mock,4,2479000,78452,59293,12974,32838,31388,3616,22526,16744,5782,26,1785,2369,4013,9148,3747,228,63220,44324,23996,18070,11249,2726,1126,2647,2117,107568,79698,62074,38954,23120,22232,34,328,31,679,966,524,3938,129,
15156x3252_12,15156x3252,12,f,10_13x,2013-10-18,Mock,4,2345000,217943,129807,31175,60197,59434,20416,29072,24577,4495,50,6360,2566,4386,27036,1974,2411,130910,91310,55205,39567,16097,5995,2127,11924,4160,192182,134627,88537,54021,34516,22375,11,728,23,547,473,783,4191,138,
15156x3252_28,15156x3252,28,f,10_13x,2013-10-18,Mock,4,2278000,270687,157962,33553,72340,71376,19177,42395,31754,10641,52,5714,2835,4355,29465,2175,2186,105425,68896,41414,28205,13778,5873,1836,6628,3102,278728,187391,115518,72780,42738,32440,19,939,24,864,670,983,5471,219,
15156x3252_57,15156x3252,57,f,10_13x,2013-10-18,Mock,4,3082000,216332,121772,28734,50154,49253,10212,30396,26506,3890,41,5360,1971,3282,25634,1461,1817,166479,104199,61638,38321,19639,8092,2938,10531,2393,241333,148289,90022,48435,41587,25579,7,414,20,454,370,482,2604,108,
8002x3032_102,8002x3032,,f,8_13viii,2013-08-23,Mock,4,3750000,249664,193978,106654,46711,45026,5626,26915,10323,16309,59,6917,1358,22404,85141,15959,6604,154886,124607,88566,72190,18923,11893,4249,21620,3150,178030,129177,101556,45172,56384,9644,36,380,595,332,2107,437,109,21,
8002x3032_103,8002x3032,,f,8_13viii,2013-08-23,Mock,4,3640000,176347,132526,38756,49305,44657,9718,24936,9131,12883,12,4993,2209,4202,34909,3467,682,114233,91932,57736,39922,10006,6691,2100,7435,2619,138280,99872,68013,43137,24876,9250,122,540,59,1030,2577,500,506,24,
